eventno	jetmultiplicity	axion_Eta	axion_Phi	axion_pT	axion_Px	axion_Py	axion_Pz	axion_E	Z_Eta	Z_Phi	Z_pT	Z_Px	Z_Py	Z_Pz	Z_E	highb_Eta	highb_Phi	highb_pT	highb_Px	highb_Py	highb_Pz	highb_E	lowb_Eta	lowb_Phi	lowb_pT	lowb_Px	lowb_Py	lowb_Pz	lowb_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	jet3_Eta	jet3_Phi	jet3_pT	jet3_Px	jet3_Py	jet3_Pz	jet3_E	jet4_Eta	jet4_Phi	jet4_pT	jet4_Px	jet4_Py	jet4_Pz	jet4_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	jet1_btag	jet2_btag	jet3_btag	jet4_btag	invmass_2j1p	delta_eta_jet1_jet2	delta_phi_jet1_jet2	deltaR_jet1_jet2
175018	3	1.66438	2.80823	38.6174	-36.4914	12.6365	98.3413	114.836	2.60038	-2.31394	25.5433	-17.2828	-18.8086	171.071	196.367	1.80982	2.22481	28.0336	-17.0551	22.2488	83.3392	88.0534	0.645994	-2.68231	21.6834	-19.4363	-9.61231	15.0021	26.7828	1.43185	-1.02243	36.8479	19.2086	-31.4451	72.7295	81.5313	1.80766	2.24592	30.9684	-19.3551	24.1748	91.8538	96.9338	0.692036	-2.76013	26.5244	-24.6178	-9.87455	19.8564	33.1334	-1.12094	1.71954	26.3669	-3.90747	26.0758	-36.1458	44.7408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4391	-1.02561	35.8008	18.5655	-30.6108	71.2392	79.7291	1	1	0	0	98.1449668463315	1.115624	1.2771353071795861	1.6957863964015916
175144	2	-1.68731	0.425367	47.37	43.1488	19.5475	-123.634	139.837	-3.30775	0.436054	16.2492	14.7287	6.86313	-221.696	242.719	-1.55037	0.0253443	44.3664	44.3522	1.12432	-99.8473	109.362	-1.07135	1.63602	18.4625	-1.20341	18.4232	-23.7869	30.4757	-1.8651	-2.7218	31.1222	-28.42	-12.6844	-98.0616	102.882	-1.49948	0.0428714	47.4432	47.3996	2.03333	-100.961	111.553	-1.05408	1.57679	27.6074	-0.165373	27.6069	-34.7968	44.4183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.87469	-2.71523	30.1699	-27.469	-12.4772	-96.0214	100.65	1	1	0	0	106.99373936781342	-0.4454	-1.5339186	1.5972750018158925
175644	2	-2.81609	-2.20416	24.1302	-14.2818	-19.4499	-200.902	207.29	-3.33355	-0.41271	18.1546	16.6303	-7.2817	-254.184	270.08	-2.36702	-1.77702	31.9888	-6.55027	-31.311	-169.09	172.154	-1.54888	2.14846	14.1585	-7.73149	11.8611	-31.8118	35.1361	-1.25103	0.375009	33.2208	30.9121	12.1682	-53.2818	62.7899	-1.55788	2.21813	29.875	-18.0165	23.8311	-67.7884	74.0795	-2.38245	-1.77315	22.5795	-4.5379	-22.1188	-121.242	123.326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.24785	0.373563	34.2072	31.848	12.4834	-54.6584	64.48	1	1	0	0	94.40283346044227	0.82457	2.2919053071795865	2.435722813042969
175689	2	-0.0221761	0.709344	31.5074	23.9075	20.5219	-0.698768	54.9392	-0.280411	1.71945	64.0014	-9.47909	63.2955	-18.1828	111.947	-0.277609	1.01562	37.1527	19.5828	31.5727	-10.4469	38.8787	0.749335	-1.19778	11.8669	4.32462	-11.0508	9.74814	16.0605	-0.316891	2.23356	54.2609	-33.3866	42.7736	-17.484	57.0082	0.428964	-1.43593	42.5638	5.72296	-42.1773	18.8234	46.5403	-0.252835	0.98986	33.816	18.5585	28.2685	-8.64125	34.9027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.328633	2.22372	53.4516	-32.4726	42.457	-17.8838	56.364	1	1	0	0	134.34790410921156	0.681799	-2.42579	2.519783125687804
176227	2	0.948829	-0.288036	36.0793	34.593	-10.249	39.6059	69.9666	1.32923	-0.746961	15.3641	11.2735	-10.4386	26.9907	96.4803	0.675386	0.524438	30.149	26.0971	15.0964	21.9459	37.5855	0.620126	-1.24736	26.7315	8.49587	-25.3454	17.66	32.3811	-0.517539	-3.13346	23.3202	-23.3194	-0.189558	-12.6151	26.5136	0.705508	0.539432	25.9009	22.223	13.304	19.8273	32.6187	0.544532	-1.22884	24.3581	8.16801	-22.9478	13.929	28.0595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.507972	-3.14057	23.6747	-23.6747	-0.0242297	-12.55	26.7954	1	1	0	0	84.04370243494641	0.160976	1.768272	1.7755841682556197
176505	3	-0.40164	-1.88563	38.4706	-11.9126	-36.5798	-15.8702	61.2874	-1.45089	-2.60964	8.05119	-6.93865	-4.08372	-16.2334	94.1639	0.17981	-2.27122	33.6374	-21.6808	-25.718	6.08097	34.5042	-1.19625	-0.838359	14.608	9.76813	-10.8617	-21.9511	26.7831	-0.0110499	1.41891	32.8745	4.97399	32.4961	-0.363269	32.8765	-1.48209	-0.754971	33.9558	24.7297	-23.2688	-70.8821	78.5956	0.199663	-2.26727	29.1863	-18.7234	-22.3892	5.86621	29.77	-0.507259	2.02002	23.6517	-10.2712	21.3051	-12.5188	26.7605	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0132245	1.42591	34.8677	5.03414	34.5024	-0.461121	34.8708	1	1	0	0	126.42424051071961	-1.6817529999999998	1.512299	2.261712054707672
176614	2	-2.15212	2.04441	33.4997	-15.2793	29.8123	-142.154	152.822	-4.32862	0.384236	5.48195	5.08224	2.05491	-207.839	226.981	-1.55294	1.28604	30.8481	8.66582	29.6058	-69.6196	76.2928	-1.8276	3.13297	23.946	-23.9451	0.206438	-72.534	76.529	-1.40176	-0.937903	34.4248	20.3616	-27.7574	-65.6855	74.1597	-1.54792	1.27941	27.3641	7.86116	26.2106	-61.4188	67.2388	-1.83998	3.09756	25.6274	-25.6026	1.12818	-78.6455	82.7156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.39601	-0.930156	34.1238	20.3961	-27.3575	-64.6899	73.1383	1	1	0	0	88.53825616927405	0.29206	-1.8181500000000002	1.8414582444627956
176978	2	-2.02171	-0.906702	42.2669	26.051	-33.2842	-156.784	168.499	-2.955	-0.663426	18.4238	14.5159	-11.3458	-176.406	200.112	-1.69743	-0.109754	30.7367	30.5518	-3.3667	-81.0946	86.8514	-1.6479	-1.72011	30.2541	-4.50073	-29.9175	-75.6898	81.6477	-0.726113	2.05487	24.7862	-11.5352	21.9384	-19.6213	31.6125	-1.63162	-1.7107	27.9003	-3.89063	-27.6277	-68.5865	74.0442	-1.73584	-0.0965035	25.6648	25.5454	-2.4729	-70.5458	75.0692	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.727113	2.0443	25.3042	-11.5388	22.5202	-20.0637	32.2933	1	1	0	0	86.05364068817252	0.10421999999999998	-1.6141965	1.6175574638980372
177455	3	2.14001	-0.248621	35.0976	34.0185	-8.63637	147.091	157.778	2.39247	-0.795141	26.3349	18.4393	-18.8022	142.855	176.856	1.58764	0.323139	35.7747	33.9232	11.3601	83.8524	91.2861	1.86861	-1.56603	19.9967	0.0953117	-19.9964	63.239	66.4916	-0.225797	-2.56344	18.6025	-15.5792	-10.1658	-4.23618	19.0788	1.53572	0.331608	27.7099	26.2003	9.02137	61.369	67.3349	1.86083	-1.63436	25.8755	-1.64374	-25.8232	81.1657	85.1904	1.40469	1.83751	23.9049	-6.30041	23.0597	45.7635	51.6309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.222141	-2.55911	17.7121	-14.7913	-9.74343	-3.96701	18.1509	1	1	0	0	95.54762897722111	-0.32511	1.9659680000000002	1.9926682335812955
177476	2	-2.7303	-2.60216	40.0733	-34.3829	-20.5838	-306.006	311.882	-3.16373	-1.76531	42.241	-8.16483	-41.4444	-498.79	507.556	-2.39407	-2.57887	49.1865	-41.6021	-26.2406	-267.247	271.777	-2.14809	0.664645	9.17157	7.21927	5.65684	-38.7581	40.1048	-2.45051	-0.672089	33.5045	26.218	-20.8607	-192.784	195.674	-2.3995	-2.59454	40.4746	-34.5679	-21.0536	-221.131	224.804	-2.00119	0.705587	37.6405	28.6531	24.4091	-136.686	141.774	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.44321	-0.678511	34.0163	26.482	-21.3498	-194.284	197.239	1	1	0	0	111.02833304913682	-0.3983100000000004	2.9830583071795864	3.0095328076186743
