eventno	jetmultiplicity	axion_Eta	axion_Phi	axion_pT	axion_Px	axion_Py	axion_Pz	axion_E	Z_Eta	Z_Phi	Z_pT	Z_Px	Z_Py	Z_Pz	Z_E	highb_Eta	highb_Phi	highb_pT	highb_Px	highb_Py	highb_Pz	highb_E	lowb_Eta	lowb_Phi	lowb_pT	lowb_Px	lowb_Py	lowb_Pz	lowb_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	jet3_Eta	jet3_Phi	jet3_pT	jet3_Px	jet3_Py	jet3_Pz	jet3_E	jet4_Eta	jet4_Phi	jet4_pT	jet4_Px	jet4_Py	jet4_Pz	jet4_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	jet1_btag	jet2_btag	jet3_btag	jet4_btag	invmass_2j1p	delta_eta_jet1_jet2	delta_phi_jet1_jet2	deltaR_jet1_jet2
228	2	-0.0342374	-0.864124	44.4921	28.889	-33.8375	-1.52359	63.3008	0.626346	-1.69763	10.4997	-1.32819	-10.4153	7.01494	102.475	0.0292153	-0.164584	33.8222	33.3652	-5.54149	0.988266	34.1615	-0.0875686	-1.72769	28.6478	-4.47614	-28.296	-2.51186	29.1393	0.221519	2.4822	38.2319	-30.2172	23.4221	8.53853	39.1738	-0.0143928	-0.208869	28.6807	28.0573	-5.94704	-0.412809	28.6837	-0.115036	-1.73382	23.2269	-3.76972	-22.919	-2.67784	23.3808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.214053	2.49454	37.8202	-30.1753	22.7995	8.15751	38.6899	1	1	0	0	90.21762513276815	0.1006432	1.524951	1.5282684993505689
436	2	1.38593	0.331321	34.5022	32.6258	11.2233	64.665	85.953	4.75121	-0.580954	1.86754	1.56115	-1.02495	108.052	140.702	1.21263	-0.445609	29.4907	26.6109	-12.7107	45.1933	54.1685	0.724074	1.32458	24.6783	6.01491	23.934	19.4717	31.7845	1.07803	-2.76602	33.3921	-31.0646	-12.2483	43.3868	54.7489	1.30359	-0.449611	26.0883	23.4955	-11.3383	44.4926	51.577	0.691798	1.31142	24.2104	6.20943	23.4006	18.117	30.2386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.07532	-2.77242	33.6836	-31.4142	-12.1544	43.6158	55.1083	1	1	0	0	86.37933028049649	0.611792	-1.761031	1.8642745597751957
541	2	-0.961386	-0.893333	31.1332	19.5149	-24.2579	-34.7596	64.8188	-2.76071	-2.75976	10.7472	-9.97326	-4.00467	-84.6225	126.187	-0.632479	-1.50246	34.0534	2.32522	-33.9739	-23.003	41.3626	-0.56488	0.514456	19.7455	17.1897	9.716	-11.7566	23.4562	-1.1344	2.53976	35.7735	-29.4882	20.2533	-49.8629	61.3682	-0.787717	0.477499	35.7932	31.7896	16.4491	-31.2026	47.4843	-0.61519	-1.41727	30.5046	4.66493	-30.1458	-19.9725	36.4614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.14796	2.54396	36.5321	-30.2	20.5561	-51.7744	63.3654	1	1	0	0	104.95613426131459	-0.17252699999999999	1.8947690000000001	1.9026074553333383
697	2	-0.682404	-2.49618	35.2896	-28.1911	-21.2278	-25.9948	62.8182	-2.18167	-2.77482	23.4119	-21.8548	-8.39555	-102.406	140.558	-0.0392828	-1.79958	28.4178	-6.44487	-27.6773	-1.11662	28.8255	-0.948195	2.85327	22.6824	-21.7462	6.44956	-24.8782	33.9928	-2.37688	1.11214	14.3114	6.33629	12.8322	-76.4116	77.7402	-0.952813	2.81707	26.9783	-25.5701	8.60228	-29.7751	40.1794	-0.061371	-1.78392	23.8601	-5.04668	-23.3203	-1.46524	23.905	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.37336	1.11012	14.3928	6.39836	12.8923	-76.5712	77.9121	1	1	0	0	89.16172236034697	-0.8914420000000001	1.6821953071795859	1.9037988052472934
1344	2	2.55101	-2.73263	31.3965	-28.8073	-12.4849	200.027	207.414	3.80363	-1.58662	10.4434	-0.165209	-10.4421	234.149	252.011	1.85123	2.80398	30.462	-28.7424	10.09	94.5941	99.489	2.24565	-1.57367	22.575	-0.0649769	-22.5749	105.433	107.925	1.00847	0.0712035	28.7149	28.6421	2.04288	34.1222	44.5967	1.87115	2.81197	29.2314	-27.6576	9.46191	92.6898	97.1899	2.2687	-1.66532	26.2553	-2.47796	-26.1381	125.544	128.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.994138	0.0835122	29.8721	29.768	2.49179	34.8362	45.8901	1	1	0	0	96.84853326863754	-0.39754999999999985	1.8058953071795862	1.8491359774211447
1394	3	1.298	2.2387	53.5379	-33.1583	42.0338	90.7174	114.546	2.17951	2.57372	39.2102	-33.0561	21.0887	171.13	197.642	0.918192	2.0993	56.0086	-28.2421	48.3668	58.9635	81.4601	2.08514	-2.23091	8.01723	-4.9162	-6.333	31.7539	33.0859	2.05495	-1.56592	20.9453	0.10217	-20.945	80.4125	83.0956	0.892856	2.08505	45.9664	-22.6101	40.0212	46.7159	65.5385	2.09205	-2.51157	34.6034	-27.96	-20.3872	138.034	142.305	1.38097	0.189272	22.9667	22.5565	4.32103	42.8035	48.5758	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.05342	-1.56625	20.6198	0.0936511	-20.6195	79.0378	81.6832	1	1	0	0	108.13378860372782	-1.1991939999999999	1.6865653071795865	2.0694368279843123
1497	3	-1.89046	-1.25607	53.1292	16.4463	-50.5196	-171.91	185.476	-2.42151	-1.66706	35.826	-3.44328	-35.6601	-200.161	223.086	-1.76286	-1.67926	45.8771	-4.96618	-45.6075	-129.776	137.727	-1.40632	-0.225498	21.9687	21.4125	-4.91202	-42.1342	47.7494	-0.975579	2.49995	24.8274	-19.8896	14.8594	-28.2502	37.6095	-1.81533	-1.67793	45.9977	-4.91846	-45.734	-137.54	145.028	-1.55911	-0.421844	24.9636	22.7751	-10.2212	-56.7206	61.971	-3.09487	1.29349	22.5367	6.16989	21.6757	-248.343	249.364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.985062	2.49808	24.5172	-19.6136	14.7104	-28.2507	37.4058	1	1	0	0	92.29413415742304	-0.2562200000000001	-1.2560859999999998	1.2819519210157608
1957	2	-1.81964	-0.766475	98.0025	70.5971	-67.9745	-294.378	313.509	-2.09092	-1.01559	90.4224	47.6637	-76.84	-360.28	383.848	-1.7499	-0.814551	100.351	68.8601	-72.9968	-279.989	297.466	-1.72173	1.2378	5.31419	1.73706	5.02228	-14.3893	16.0432	-1.71219	-2.77272	24.5874	-22.9334	-8.86542	-65.9016	70.3389	-1.73541	-0.798857	94.1992	65.7064	-67.4994	-258.808	275.418	0.64749	2.37591	82.8814	-59.7498	57.4394	57.494	100.871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.7203	-2.76651	24.7989	-23.0748	-9.08499	-67.0463	71.4856	1	1	0	0	357.52661212241236	-2.3829	3.108418307179586	3.9166920714308397
2273	2	0.579953	2.60221	56.423	-48.4125	28.9792	34.5882	80.0346	1.59712	2.53422	24.7963	-20.3615	14.1515	58.7215	119.899	0.295779	2.29123	51.1867	-33.7684	38.4679	15.3617	53.6484	0.951583	-2.56666	17.4494	-14.644	-9.48868	19.2265	26.3862	0.701617	-0.486265	31.7288	28.0509	-14.8277	24.1334	39.864	0.31667	2.32692	62.8379	-43.1136	45.7146	20.2331	66.015	1.32786	-0.699088	42.3958	32.451	-27.2825	74.3607	85.5974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.708757	-0.48112	33.6568	29.836	-15.5755	25.9025	42.4702	1	1	0	0	150.90698419208434	-1.01119	3.026008	3.1904905002466313
2276	2	-0.73932	1.6801	54.2301	-5.91588	53.9065	-43.847	83.0103	-1.28552	1.80215	30.675	-7.03374	29.8577	-51.2278	108.191	-0.508004	1.15652	41.8775	16.8568	38.335	-22.2008	47.6308	-0.72063	2.54184	27.5874	-22.7727	15.5715	-21.6462	35.3796	-0.301966	-1.61725	24.0748	-1.11787	-24.0488	-7.38075	25.1807	-0.744108	2.5957	34.854	-29.7884	18.0955	-28.3956	44.9568	-0.49101	1.21714	29.8168	10.3265	27.9715	-15.2358	33.4839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.307394	-1.61084	23.9139	-0.957399	-23.8948	-7.46731	25.0527	1	1	0	0	84.80124677977616	-0.253098	1.3785599999999998	1.4016013239163265
2298	2	0.346081	0.690897	61.6499	47.512	39.2851	21.7643	79.3626	0.144698	1.1412	60.0188	24.9978	54.5653	8.71496	109.54	0.304667	0.741387	67.6851	49.92	45.7085	20.9419	71.0065	0.119596	-1.92945	6.85991	-2.40793	-6.42342	0.822378	8.35612	-0.462876	2.54531	27.2098	-22.5142	15.2802	-13.0494	30.1771	-0.197405	-1.63831	55.9106	-3.77186	-55.7832	-11.1089	57.0035	0.319957	0.730329	52.587	39.1749	35.0815	17.1141	55.3017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.461377	2.53652	27.1061	-22.2937	15.4186	-12.9546	30.0427	1	1	0	0	141.47390053718178	-0.517362	-2.368639	2.424482243978083
2361	3	-0.14538	-0.0283261	44.8015	44.7835	-1.26888	-6.53619	63.8745	0.72232	-0.129372	25.0096	24.8006	-3.22652	19.6773	96.8941	-0.0176007	-0.528955	40.7829	35.2093	-20.5803	-0.717843	41.0591	-0.266761	1.11053	21.5545	9.57421	19.3115	-5.81834	22.8154	1.08183	-3.04394	20.0786	-19.9829	-1.95764	26.2135	33.0196	0.00802905	-0.475817	33.0508	29.3795	-15.1394	0.26537	33.0519	-0.248898	1.21467	31.8728	11.1124	29.8729	-8.01525	32.8652	-2.7558	-3.07521	30.0966	-30.0303	-1.99647	-235.808	237.721	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09583	-3.04158	20.1531	-20.0524	-2.01213	26.7774	33.5139	1	1	0	0	94.57732724455	0.25692705	-1.6904869999999999	1.7098999404031519
2711	2	1.95373	-1.22099	37.8708	12.9788	-35.5774	130.904	143.514	2.57937	-0.153961	33.174	32.7816	-5.08734	217.506	237.438	1.36652	-0.754306	38.3644	27.958	-26.2713	70.3351	80.2555	1.94762	-2.58568	17.6346	-14.9791	-9.30609	60.569	63.2588	1.6025	0.994785	36.3565	19.8027	30.4901	86.6019	93.9238	1.91471	-3.00714	39.3713	-39.0159	-5.27766	130.665	136.468	1.39375	-0.922377	33.4771	20.2177	-26.6826	63.3015	71.6087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.61337	0.992576	35.2261	19.2523	29.4996	84.9031	91.9207	1	1	0	0	110.56186118257224	0.5209599999999999	-2.084763	2.1488685599098423
2777	3	-0.759449	1.54315	43.4461	1.20108	43.4295	-36.2595	72.3047	-2.11738	1.4862	11.643	0.983741	11.6014	-47.6724	106.118	-0.531735	1.10906	43.0504	19.179	38.5422	-23.9855	49.5048	-0.618602	2.87616	18.6304	-17.978	4.88733	-12.274	22.7999	-0.351299	-1.57762	31.8289	-0.217339	-31.8281	-11.4129	33.8132	-0.67095	1.43795	31.2229	4.13581	30.9478	-22.5565	38.5184	-0.573299	0.916917	26.2736	15.9815	20.8542	-15.9014	30.7109	0.558182	-1.82506	25.9828	-6.53556	-25.1474	15.268	30.1367	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.35754	-1.57356	31.4033	-0.0867958	-31.4032	-11.4687	33.432	1	1	0	0	85.02555256846965	-0.09765100000000004	0.5210330000000001	0.5301048055715022
2783	2	-1.71204	2.95155	31.5528	-30.9848	5.96031	-84.5576	100.844	-1.73218	1.88277	64.8677	-19.9104	61.7364	-177.609	209.896	-0.847031	3.00777	36.3482	-36.0232	4.84964	-34.6039	50.4055	-2.96608	0.21697	5.15942	5.03845	1.11067	-49.9537	50.4389	-1.2681	1.3748	56.8649	11.0743	55.7761	-93.0513	109.051	-1.73521	-1.17789	49.8751	19.0958	-46.0746	-137.001	145.797	-0.858149	3.01317	31.2551	-30.9977	4.00285	-30.2369	43.4873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.25646	1.37868	53.6683	10.2472	52.6809	-86.6289	101.906	1	1	0	0	142.22568887524318	-0.8770609999999999	2.092125307179586	2.2685291046539997
3425	2	0.996539	-2.87614	28.7103	-27.7047	-7.53199	33.5873	63.0635	2.86024	1.32891	9.63751	2.30856	9.35693	83.8871	124.023	0.782338	-3.08797	38.0253	-37.9707	-2.03795	32.8775	50.4871	0.0609221	-0.491387	11.6436	10.2659	-5.49404	0.709793	12.5765	1.17268	0.512553	34.4388	30.0133	16.8889	50.2998	60.9599	-0.13803	-0.603022	44.3953	36.5651	-25.1781	-6.14738	44.8189	0.732105	-3.07156	34.5445	-34.4598	-2.41723	27.6107	44.2229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17804	0.506334	34.4404	30.1191	16.7027	50.6292	61.2328	1	1	0	0	127.38941330241182	-0.870135	2.4685379999999997	2.6174061159225936
3473	2	1.69821	-2.54195	47.7761	-39.4408	-26.9625	126.156	142.205	2.2689	-2.26215	28.2281	-17.9977	-21.7464	135.006	165.982	1.28165	-2.44555	53.6069	-41.1372	-34.3719	89.1218	104.108	2.28706	1.34572	7.6011	1.69642	7.40937	37.034	38.097	0.390973	0.238618	22.0684	21.4431	5.21608	8.84964	23.7767	2.09199	0.909917	41.5678	25.5148	32.8158	165.806	170.937	1.2483	-2.41937	40.8024	-30.6156	-26.9726	65.2316	76.9415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.384092	0.239385	21.2892	20.6822	5.0478	8.37957	22.879	1	1	0	0	125.01059398499446	0.84369	2.9538983071795863	3.072023441521634
3708	3	0.27003	-1.9858	40.6327	-16.3828	-37.1836	11.1059	61.6421	0.902868	-0.726074	11.817	8.83656	-7.84573	12.1789	100.345	0.493369	-1.34202	31.962	7.24839	-31.1293	16.4167	36.2377	-0.216021	-2.89079	24.3944	-23.6312	-6.05433	-5.31078	25.4044	0.0277328	0.860745	38.6876	25.2194	29.3379	1.07305	38.7024	0.509579	-1.38905	31.9111	5.7678	-31.3855	16.9742	36.1447	-0.287939	-2.97433	31.0014	-30.5688	-5.16124	-9.05038	32.2955	1.73593	1.77322	26.7665	-5.38117	26.22	73.5805	78.2977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0316433	0.85807	39.6798	25.9466	30.021	1.25581	39.6997	1	1	0	0	107.54568649260416	0.797518	1.5852800000000002	1.7745837930974127
3713	2	-1.44034	0.349102	49.8077	46.8033	17.0369	-99.2485	119.807	-5.74551	-0.655646	1.0362	0.821351	-0.631743	-162.051	199.624	-1.43465	0.925536	36.198	21.7697	28.9201	-71.6718	80.4315	-0.877948	-0.443197	27.7108	25.0336	-11.8832	-27.5767	39.3758	-1.06308	-2.77474	49.2597	-45.9819	-17.6687	-62.803	79.8169	-1.40377	0.910487	33.7349	20.6917	26.6439	-64.5157	72.8033	-0.95294	-0.390526	26.0929	24.1284	-9.93293	-28.8029	38.8645	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.07336	-2.77293	48.7801	-45.5026	-17.5787	-63.0079	79.6837	1	1	0	0	110.34583448593375	-0.45082999999999995	1.301013	1.3769104963900158
3721	2	-0.794579	-0.348366	44.483	41.8109	-15.1848	-39.1836	74.4287	-1.9323	-0.155565	16.4573	16.2585	-2.54987	-55.6301	107.339	-0.613381	0.322931	34.8778	33.075	11.0684	-22.7603	41.9116	-0.563306	-1.24956	27.6685	8.73599	-26.2532	-16.4233	32.5171	-0.548965	2.68238	28.5056	-25.5524	12.6349	-16.4465	32.9098	-0.597177	0.279321	29.8839	28.7256	8.23909	-18.9257	35.3727	-0.583252	-1.22129	26.7295	9.15309	-25.1135	-16.4891	31.4064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.553597	2.67229	28.6367	-25.5406	12.9514	-16.6754	33.1381	1	1	0	0	84.27597194628966	-0.013924999999999965	1.500611	1.5006756075001686
3723	2	1.0684	2.83439	32.3132	-30.8004	9.77144	41.4766	69.2081	0.982848	1.76475	29.7679	-5.73738	29.2098	34.2005	101.75	0.482113	2.24089	33.2492	-20.6499	26.0595	16.6581	37.4846	1.07428	-2.12809	19.192	-10.1505	-16.288	24.8185	31.7235	-0.227437	0.659672	31.7176	25.063	19.4383	-7.27609	32.5414	0.434487	2.29839	32.8397	-21.8409	24.524	14.7216	35.9885	0.928782	-2.16354	29.3648	-16.4042	-24.3555	31.3673	42.9674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.231056	0.660595	31.7726	25.0885	19.4952	-7.40674	32.6245	1	1	0	0	101.95155192857243	-0.494295	1.8212553071795865	1.8871402812072053
4017	2	2.20176	-2.96412	36.291	-35.721	-6.40692	162.046	172.053	3.5795	2.11651	13.7297	-7.12605	11.7356	245.952	262.536	1.85639	2.46162	28.8889	-22.4637	18.1646	90.1968	94.8268	1.67415	-2.06557	27.9199	-13.2573	-24.5716	71.8487	77.226	1.63892	0.565378	33.8648	28.5949	18.1425	83.9068	90.483	1.74008	2.26614	47.5584	-30.4682	36.517	131.316	139.663	1.67458	-2.05042	23.6403	-10.9088	-20.9729	60.8641	65.294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.64319	0.561101	35.098	29.7164	18.6763	87.3637	94.1503	1	1	0	0	100.06715458295989	0.06550000000000011	1.9666253071795863	1.9677157693221858
4401	2	-1.64113	1.95808	48.0112	-18.1327	44.4554	-119.241	136.192	-2.88013	1.77741	23.191	-4.75745	22.6978	-205.943	226.577	-1.59338	1.50701	40.8183	2.60169	40.7353	-96.2726	104.674	-0.943845	2.96407	21.0654	-20.7344	3.72003	-22.9688	31.5184	-1.93639	-1.01961	25.5399	13.3752	-21.7576	-86.7011	90.3846	-1.56232	1.52541	39.1797	1.77762	39.1393	-89.3345	97.5484	-0.874777	2.70234	33.3563	-30.1898	14.1851	-33.0458	46.9539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.94477	-1.01878	24.9484	13.083	-21.2428	-85.436	89.0041	1	1	0	0	100.36638619197959	-0.6875429999999999	-1.17693	1.3630405723048011
5509	2	-0.692654	-2.24926	48.9137	-30.698	-38.0812	-36.6551	75.901	-1.5296	-1.73794	29.0093	-4.82617	-28.605	-63.8159	114.59	-0.90171	-1.9325	40.3889	-14.2923	-37.7756	-41.559	58.1421	0.29458	-3.12296	16.4086	-16.4057	-0.305674	4.90385	17.7589	-0.87128	0.351101	27.5527	25.8718	9.47624	-27.1608	38.6893	-0.890688	-1.97065	33.5406	-13.0567	-30.8949	-33.9839	47.748	0.397999	-3.10601	27.2868	-27.2695	-0.9707	11.1491	29.4766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.875509	0.359216	25.9329	24.2776	9.11645	-25.7182	36.5231	1	1	0	0	99.02557275071678	-1.288687	1.13536	1.717485520628631
5628	2	1.06703	2.4063	39.6337	-29.3937	26.5865	50.7845	78.5849	2.80967	3.09246	10.1829	-10.1706	0.50012	84.2336	125.156	0.478984	1.7783	32.4959	-6.6948	31.7988	16.167	36.5984	1.18719	-2.91588	23.2896	-22.6989	-5.21225	34.6174	41.9865	0.903994	-0.935732	32.4041	19.2231	-26.0864	33.4491	46.5712	0.489777	1.77848	35.3123	-7.28102	34.5535	17.9949	39.633	1.15527	-2.92981	24.5144	-23.9667	-5.15307	35.0545	42.7759	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.891612	-0.929864	34.1245	20.4045	-27.3521	34.6204	48.6113	1	1	0	0	96.73948470114308	-0.665493	1.5748953071795864	1.709729850480854
6063	2	-0.750006	1.33152	49.6833	11.775	48.2678	-40.8558	78.5046	-0.522375	0.9014	52.2017	32.3919	40.9364	-28.5261	103.621	-0.829983	1.73807	42.3472	-7.05039	41.7561	-39.3241	57.9807	-0.0768187	0.333017	19.9198	18.8254	6.5117	-1.53172	20.524	0.537252	-0.341658	21.8816	20.6169	-7.33143	12.3297	25.1163	-1.23796	-2.40979	41.8335	-31.1228	-27.9538	-66.0674	78.1981	-0.846393	1.76031	34.5561	-6.50977	33.9374	-32.8674	47.6906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.537531	-0.346704	21.0007	19.7511	-7.13604	11.84	24.1084	1	1	0	0	120.79963052118785	-0.391567	2.1130853071795865	2.14905891750488
6234	2	-1.20765	-2.08152	27.758	-13.5682	-24.2159	-42.2851	67.7026	-3.48118	0.924186	4.82798	2.90879	3.85336	-78.3757	116.302	-0.51748	-1.1881	26.9263	10.0549	-24.9784	-14.5641	30.9714	-0.99848	3.10932	23.6355	-23.6232	0.762561	-27.7211	36.7312	-0.956281	1.03998	32.548	16.477	28.0692	-36.0906	48.5994	-0.513906	-1.05856	23.8423	11.6858	-20.7822	-12.7992	27.0606	-0.937908	2.94711	22.7294	-22.3009	4.39274	-24.584	33.4813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.954237	1.04574	32.4563	16.2691	28.0843	-35.8899	48.389	1	1	0	0	79.55034124737871	0.424002	2.277515307179586	2.3166470750723605
6343	2	0.131432	2.88747	25.2367	-24.4262	6.34432	3.32646	51.8084	-3.31007	1.41872	2.58207	0.391162	2.55227	-35.3105	97.8854	-0.196478	-2.3688	24.6344	-17.6373	-17.1982	-4.87131	25.5475	0.32863	1.85155	24.5019	-6.78896	23.5426	8.19777	26.2609	-1.2162	-0.151626	25.1054	24.8174	-3.79206	-38.6369	46.0771	0.317845	1.89458	25.8039	-8.20978	24.4631	8.34044	27.1184	-0.259949	-2.38529	23.2129	-16.8845	-15.9296	-6.10235	24.0016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.20635	-0.147148	27.0137	26.7218	-3.96068	-41.0874	49.1723	1	1	0	0	92.33480951250782	0.5777939999999999	2.0033153071795864	2.0849743706856545
6479	2	-0.688191	0.16571	58.0104	57.2158	9.569	-43.149	85.2339	-0.664509	0.482833	46.2264	40.942	21.4625	-33.029	107.788	-0.801363	0.126716	56.7617	56.3066	7.17335	-50.5139	76.129	1.77791	1.20806	2.56238	0.909209	2.39565	7.36493	9.10483	0.483058	2.51047	20.1567	-16.2738	11.8935	10.12	22.5545	-0.756448	0.136582	66.2939	65.6765	9.02645	-55.0692	86.1829	0.457968	-2.25735	23.0974	-14.641	-17.8643	10.9515	25.5622	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.39076	0.319141	30.2752	28.7464	9.49887	-57.054	64.5891	1	1	0	0	120.38458661182337	-1.214416	2.3939320000000004	2.6843465949239866
6530	2	-1.64666	-2.12501	49.7023	-26.1569	-42.2626	-124.18	141.125	-3.36261	-2.36924	14.2546	-10.2102	-9.94716	-205.478	230.052	-0.99617	-2.54214	37.2027	-30.7161	-20.9895	-43.5011	57.4323	-2.02142	-1.35967	21.7562	4.5592	-21.2731	-80.6786	83.6926	-1.55261	1.11239	36.0359	15.9467	32.3155	-81.2987	88.9273	-1.99383	-1.42976	24.2492	3.40873	-24.0084	-87.3874	90.6895	-0.966621	-2.49196	23.9815	-19.0966	-14.5063	-26.9633	36.0851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.55998	1.11479	33.1964	14.6186	29.8043	-75.498	82.474	1	1	0	0	87.55246029539722	-1.027209	1.0622000000000003	1.4776424363427711
6818	2	-2.34352	-2.14376	24.9972	-13.5516	-21.0051	-129.008	138.901	-2.50814	2.47734	29.1189	-22.9276	17.9509	-177.634	201.909	-2.06238	-2.63673	29.4789	-25.8012	-14.2585	-114.047	117.889	-0.929896	-0.503426	13.9846	12.2496	-6.74658	-14.9611	21.0117	-1.02463	1.80699	40.0684	-9.37604	38.956	-48.626	63.0076	-0.686554	-0.463529	35.5901	31.8346	-15.9126	-26.3998	44.3126	-2.07617	-2.613	28.6282	-24.7209	-14.4378	-112.344	115.934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.02645	1.81395	41.4956	-9.99067	40.275	-50.4764	65.3434	1	1	0	0	122.39194977783104	1.3896159999999997	2.149471	2.5595425777464613
7113	2	-1.67472	-3.05576	54.4537	-54.2533	-4.66836	-140.217	157.007	-2.77279	-2.64915	27.4377	-24.1775	-12.9721	-218.688	241.454	-2.05357	-2.73305	30.3726	-27.873	-12.0662	-116.44	120.428	-0.784759	2.86818	27.3979	-26.3803	7.39784	-23.7766	36.5795	-1.65279	-0.269382	31.201	30.0758	-8.30372	-78.4709	84.4464	-1.72507	3.12126	28.8671	-28.8612	0.587017	-78.4427	83.5857	-1.02831	0.749126	28.0636	20.5505	19.1112	-34.2197	44.2555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.63911	-0.276949	29.638	28.5086	-8.1037	-73.4498	79.2041	1	1	0	0	87.67905835703701	-0.69676	2.372134	2.472345892377521
7450	2	-1.65049	-1.25623	40.9281	12.6632	-38.9198	-102.679	119.379	-3.24804	0.00395123	20.6948	20.6947	0.0817697	-265.938	287.424	-1.53503	-0.641459	34.2224	27.4198	-20.4775	-75.7345	83.2405	-0.977512	-2.24563	23.6194	-14.7566	-18.4423	-26.9449	36.1386	-2.11866	1.36771	39.82	8.03145	39.0016	-163.258	168.045	-1.56585	-0.726855	33.4138	24.9691	-22.2043	-76.4814	83.4619	-0.893188	-2.27365	24.0622	-15.5538	-18.3595	-24.4659	34.3157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.11247	1.37135	39.32	7.79029	38.5405	-160.184	164.939	1	1	0	0	106.95323279701215	-0.672662	1.546795	1.6867272862762965
