eventno	jetmultiplicity	highb_Eta	highb_Phi	highb_pT	highb_Px	highb_Py	highb_Pz	highb_E	lowb_Eta	lowb_Phi	lowb_pT	lowb_Px	lowb_Py	lowb_Pz	lowb_E	genphoton_Eta	genphoton_Phi	genphoton_pT	genphoton_Px	genphoton_Py	genphoton_Pz	genphoton_E	jet1_Eta	jet1_Phi	jet1_pT	jet1_Px	jet1_Py	jet1_Pz	jet1_E	jet2_Eta	jet2_Phi	jet2_pT	jet2_Px	jet2_Py	jet2_Pz	jet2_E	jet3_Eta	jet3_Phi	jet3_pT	jet3_Px	jet3_Py	jet3_Pz	jet3_E	jet4_Eta	jet4_Phi	jet4_pT	jet4_Px	jet4_Py	jet4_Pz	jet4_E	isophoton_Eta	isophoton_Phi	isophoton_pT	isophoton_Px	isophoton_Py	isophoton_Pz	isophoton_E	jet1_btag	jet2_btag	jet3_btag	jet4_btag	invmass_2j1p	delta_eta_jet1_jet2	delta_phi_jet1_jet2	deltaR_jet1_jet2
251997	2	-1.70292	0.535723	19.9948	17.1936	10.2066	-53.0641	56.9007	-4.63171	2.0854	1.48086	-0.728861	1.28907	-76.0274	76.1869	-2.32815	-2.53207	20.0808	-16.4647	-11.4957	-102.025	103.982	-1.43316	0.720508	35.3513	26.5655	23.3236	-69.8785	78.3117	-1.60882	-0.115358	25.9312	25.7588	-2.98475	-62.1933	67.3828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.28496	-1.82147	22.2898	-5.52921	-21.5931	-108.368	110.636	1	1	0	0	75.51605269768427	0.17565999999999993	0.835866	0.8541243501715661
252059	4	0.311019	0.816831	60.2928	41.2725	43.9522	19.056	63.4069	1.26909	-2.65976	44.6824	-39.5953	-20.7058	73.2012	85.8896	-0.630219	-1.64282	23.3068	-1.6772	-23.2464	-15.6802	28.0905	0.236884	0.359186	81.5037	76.3024	28.6496	19.488	83.8011	0.874432	-2.45337	39.5357	-30.5365	-25.1116	39.1485	55.6388	-2.44573	2.02798	36.2799	-16.0149	32.5539	-207.744	210.888	-0.389739	-2.93401	29.1377	-28.5122	-6.00514	-11.6458	31.3788	-0.326696	-0.995341	42.1195	22.9221	-35.3359	-14.0063	44.3873	1	1	0	0	161.46651949983317	-0.637548	2.812556	2.883910315082631
252618	2	-1.57133	0.0441539	38.2294	38.1921	1.68743	-88.0282	96.0861	-2.05724	3.12397	23.7493	-23.7456	0.418598	-91.3937	94.5459	-1.27685	-2.99683	14.5992	-14.4465	-2.10602	-24.1356	28.2075	-1.62193	0.0934395	43.0855	42.8976	4.02003	-104.812	113.323	-2.21765	3.05413	23.1374	-23.0489	2.02099	-105.007	107.526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.21512	-3.021	14.4694	-14.3643	-1.74074	-22.2397	26.5324	1	1	0	0	85.42684454450828	0.5957199999999998	-2.9606904999999997	3.020028237482267
253172	2	1.70085	-1.07947	85.1615	40.1789	-75.0875	225.51	241.1	0.230714	0.826947	48.6336	32.9311	35.7879	11.3202	50.1544	0.866356	2.64836	83.0032	-73.1099	39.2997	81.2496	116.151	1.64497	-1.22786	88.0783	29.6169	-82.9495	219.659	236.66	0.111547	0.75571	32.2866	23.4977	22.1423	3.60894	32.4876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.830452	2.81226	83.5758	-79.0844	27.0293	77.663	114.09	1	1	0	0	233.4443196225311	1.533423	-1.9835699999999998	2.5071769067676497
253293	2	-2.25111	-0.902873	59.4514	36.8216	-46.6758	-279.214	285.512	-0.0392409	1.87681	48.2103	-14.5239	45.9705	-1.8923	48.4758	-2.20282	3.10997	22.3089	-22.2977	0.70532	-99.7208	102.186	-2.29294	-1.08765	55.0215	25.5612	-48.7236	-269.688	275.243	0.0737934	2.29943	49.9114	-33.2336	37.238	3.68647	50.0473	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.11658	-3.0891	25.325	-25.2901	-1.32877	-103.608	106.658	1	1	0	0	220.72017289165535	-2.3667334	2.896105307179586	3.7401675011888607
253348	3	2.32438	-1.81999	59.72	-14.7285	-57.8753	302.257	308.137	-1.66578	1.91372	38.182	-12.8384	35.9589	-97.3784	104.702	0.177151	0.671702	35.2173	27.5668	21.9164	6.27145	35.7714	2.39894	-1.51197	52.6276	3.09406	-52.5365	287.365	292.144	-1.71409	1.85182	35.1028	-9.73553	33.7258	-94.2771	100.6	2.89738	-2.36458	24.7229	-17.6277	-17.3345	223.388	224.752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.178967	0.650168	36.4548	29.0174	22.0668	6.55909	37.0402	1	1	0	0	379.926642291647	4.11303	2.9193953071795864	5.043796659311534
253632	3	1.59598	-1.73406	40.8249	-6.63567	-40.282	96.5601	104.941	-0.6912	0.99624	27.9977	15.2157	23.5022	-20.9302	35.2709	0.743076	2.04347	18.8462	-8.58005	16.7798	15.329	24.2931	-0.419686	-0.0616718	59.4437	59.3307	-3.66368	-25.6866	64.7561	1.49113	-1.50103	45.1371	3.14643	-45.0273	95.1713	105.333	-1.11537	2.20799	37.3596	-22.2269	30.0284	-50.8631	63.1094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.248669	1.84238	13.654	-3.66272	13.1535	3.43041	14.0783	1	1	0	0	154.52821958480402	-1.910816	1.4393582	2.3922729388101267
253747	2	-0.518613	-0.250295	38.9127	37.7002	-9.63828	-21.0975	44.5129	-1.6639	-3.06972	27.023	-26.9532	-1.94055	-68.7799	74.0473	-2.19867	2.31895	15.7977	-10.7469	11.5788	-70.3158	72.0686	-0.381639	-1.10498	42.4749	19.0777	-37.9494	-16.6064	45.6058	-1.69026	-2.82037	23.6066	-22.3991	-7.45328	-61.8067	66.1615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-2.10441	2.33026	13.6497	-9.39823	9.89882	-55.1469	56.811	1	1	0	0	95.69773544161588	1.308621	1.71539	2.157556899305555
253756	2	1.29293	2.62351	45.026	-39.1173	22.2976	75.8457	88.329	0.194127	-0.301355	36.2285	34.5959	-10.7532	7.07719	37.2113	0.250601	-1.19751	12.3982	4.5214	-11.5444	3.13963	12.7896	1.23662	2.4907	44.5048	-35.4054	26.9655	70.1753	83.0979	0.173931	0.037028	32.8382	32.8157	1.21565	5.74041	33.3361	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.00723122	-0.96262	10.0974	5.76935	-8.28683	-0.0730169	10.0976	1	1	0	0	99.25843822826508	1.062689	2.453672	2.6739136475034115
254228	2	1.09788	-0.494041	27.5488	24.2547	-13.0633	36.698	46.1277	0.0241446	1.99165	22.24	-9.08587	20.2994	0.537028	22.7376	0.37947	-2.69648	16.8063	-15.1688	-7.23608	6.53167	18.031	0.983478	-0.344661	31.7405	29.8738	-10.7244	36.4973	48.3684	-0.140598	1.73467	24.0583	-3.92488	23.736	-3.3937	24.2965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00977585	-2.69444	13.8775	-12.5131	-6.00063	0.135667	13.8782	1	1	0	0	78.45498280861077	1.124076	-2.079331	2.3637183126034707
