isophoton_pT	deltaR_jet12	inv_mass	label
19.0611	3.003889092314994	123.59113817850537	0
23.2127	3.1742269363421385	96.3762811968168	0
19.3143	3.8126507324248786	126.53561401573673	0
38.1033	4.425599039466296	146.50194613668413	0
11.3399	3.6356375481348153	151.96181976839117	0
23.0782	3.913901445113941	131.1212747794194	0
12.169	0.9391167430878448	57.40761944694363	0
30.2672	6.113454700850961	111.81542521470996	0
12.799	3.2978846164524915	147.89072031547178	0
10.1582	0.7123849696400117	55.39500094793302	0
60.5292	5.567537030900189	123.08842023752703	0
17.0207	3.2997535017809425	82.54136295432976	0
77.2035	5.468787076962863	156.3621746724811	0
32.0927	3.754692399852877	133.82020646225862	0
25.7078	5.84374476497866	125.90276588579727	0
14.9921	3.591455766816571	138.68642479816083	0
12.257	3.0994832402797448	73.11422300422744	0
68.5833	5.786882416337318	173.48445101282334	0
36.3327	3.9342495304854515	186.6569858311095	0
21.3715	3.374642111898683	93.4606514586427	0
16.7284	3.7549404438646747	147.95685834656902	0
34.2655	5.410968163984106	108.80610673265566	0
38.8955	3.7531079400823253	162.35871148269771	0
41.4713	4.652523709158601	179.32882855715056	0
39.5168	2.3813874898612264	127.19458247107147	0
18.1314	3.580720760156676	131.58479099143602	0
34.701	3.863916313080243	120.1742121628742	0
121.935	5.450542103414027	330.48843463758305	0
70.0818	5.1271848620723635	195.50950813320435	0
11.625	3.807435434244552	92.57052346423782	0
18.9625	3.2791745910415004	158.8604219341089	0
53.8613	4.098671788994961	155.3000325898227	0
70.6252	0.6048538097253724	197.99776733843376	0
10.3362	3.338291668829217	113.4281788132589	0
28.7514	3.4670327387598094	103.04401802321955	0
108.925	1.0155253173788887	383.9451419094545	0
10.6337	2.5332088444157153	119.43278813855055	0
34.239	3.423053760448742	120.25542531664799	0
18.8002	4.362077525136539	149.88557225336902	0
50.296	4.600129637855602	117.57950427645586	0
79.1178	3.772705339291307	299.1149380485535	0
20.974	3.7611499608535763	191.21721980109427	0
19.8195	4.402846922684912	267.49721882323024	0
34.2699	4.124000100838273	321.3571595151382	0
21.9157	3.434774821000828	116.84621204436456	0
117.567	5.393547013889807	316.75138159073197	0
16.2472	3.3019046865480517	122.7296155758972	0
25.007	4.459129133828529	92.92562861573981	0
12.279	4.735078847162873	152.21672840387288	0
13.6048	3.398238336471021	176.18336920550982	0
68.8641	4.895570903759949	309.67033241830194	0
36.1411	0.6521907129674571	102.4144072831084	0
31.9768	5.672698137329085	90.24472916531526	0
57.1987	4.561371206201214	184.54058087558553	0
14.7588	3.419940624997603	80.34012552245296	0
19.7307	3.5536548036539477	155.04236706933335	0
11.0355	3.444919379294625	202.12239757971878	0
53.8716	3.889097792282847	174.93898060440387	0
24.5653	3.848055441317378	150.5562324294302	0
35.0283	3.4717994463939017	152.58935709009194	0
28.674	3.6536308643370092	112.13610645913069	0
14.1441	3.759503265352486	96.13083171750883	0
20.7175	5.7505742248719764	104.65888252995974	0
21.9879	3.2056688280614702	91.38095201540548	0
16.4904	1.7083143970884342	212.5112676382143	0
52.1635	3.19956673000658	215.69597314263896	0
18.237	2.8806802155791265	105.55339138172634	0
18.4898	3.0022764318788804	123.64842363122065	0
11.7669	1.5241701228327356	240.95906142095572	0
23.1864	2.5038325237820915	276.5874746065519	0
27.6632	3.682934506996289	178.0410690347008	0
33.8817	4.790726572497752	171.21953431512276	0
18.955	4.803213551164866	161.48719245532445	0
14.6194	3.5457108452622372	84.72971077191514	0
10.386	3.2975355536664597	79.82548181881897	0
24.077	3.0528559796393373	181.00042880463033	0
11.0181	3.8738288562684917	101.51705972147043	0
14.9559	3.5388787026312447	80.869222745654	0
121.802	5.618868112667839	317.7336953202062	0
33.578	3.5775971904121415	242.61672924935354	0
54.4383	3.621033282612957	198.16170106586722	0
93.0952	5.169674751971105	303.0168795213822	0
28.0067	5.116553405957944	80.28974239812952	0
22.0497	2.4792815196073885	188.91260430998244	0
19.2339	4.056881833752836	136.5865350222455	0
40.3468	2.136224490515671	192.56760813659395	0
18.985	3.2026409409854013	161.73352624958594	0
41.5205	4.779925793826237	118.6792635987939	0
26.8385	3.3485087746303703	106.56981171198343	0
13.8747	3.148979356068863	181.28218180293285	0
47.3928	5.803832714953813	153.3457898811089	0
18.2559	3.0300639217358105	82.12421498392722	0
14.5831	4.732065096654955	107.21295985625572	0
30.2237	3.788826688778467	93.74997502879467	0
93.1273	4.470164975112155	330.65709266209853	0
28.5023	3.9667731779199906	84.68059049667448	0
