isophoton_pT	deltaR_jet12	inv_mass	label
37.8202	4.7592985592130095	90.21762513276815	1
33.6836	4.563350636232864	86.37933028049649	1
36.5321	4.391806376748493	104.95613426131463	1
14.3928	4.68655287172395	89.161722360347	1
29.8721	4.494905087607523	96.84853326863754	1
20.6198	2.0694368279843123	108.13378860372782	1
24.5172	5.033624552213393	92.29413415742304	1
24.7989	3.9166920714308397	357.5266121224124	1
33.6568	3.1904905002466317	150.90698419208434	1
23.9139	4.911151392640065	84.80124677977618	1
27.1061	3.9485866117001076	141.47390053718175	1
20.1531	4.599879264697275	94.57732724455	1
35.2261	4.230620426252297	110.56186118257224	1
31.4033	0.5301048055715025	85.02555256846965	1
53.6683	4.281847722808577	142.22568887524318	1
34.4404	3.912629422319149	127.38941330241182	1
21.2892	3.434525403089778	125.01059398499429	1
39.6798	4.765117966593285	107.54568649260416	1
48.7801	5.00252821954331	110.34583448593379	1
28.6367	4.78259457923409	84.27597194628966	1
31.7726	4.489225642794646	101.95155192857243	1
35.098	4.317056923831328	100.06715458296003	1
24.9484	5.15233526072874	100.36638619197966	1
25.9329	5.306676886452349	99.02557275071678	1
34.1245	4.7550894478599455	96.73948470114313	1
21.0007	4.188443472877365	120.79963052118785	1
32.4563	4.028047895060833	79.55034124737871	1
27.0137	4.318695766471169	92.33480951250779	1
30.2752	2.6843465949239858	120.38458661182334	1
33.1964	5.321075634443296	87.55246029539722	1
41.4956	4.361035037790594	122.39194977783104	1
29.638	3.972630970149525	87.67905835703709	1
39.32	4.783917569125616	106.95323279701228	1
33.6497	4.180939362799191	112.90692847468485	1
34.9752	4.450207585083407	101.50815492284352	1
24.2536	4.668242164748429	100.8466984211575	1
27.0347	4.3569415996911784	138.88556405605988	1
48.6471	5.4283397348614795	103.69007631995986	1
39.897	3.9265350369669436	234.0731456839701	1
24.516	1.0990130043361632	87.25488718106276	1
17.7924	3.98704211294972	111.65655759804491	1
25.7938	4.740168936545451	90.00012769348662	1
23.9228	4.015687890464223	92.24602843690144	1
20.4331	3.6348348365575958	131.821204323691	1
