isophoton_Eta	isophoton_Phi	jet1_Eta	jet1_Phi	jet2_Eta	jet2_Phi
-2.37186	3.10005	-0.992638	-1.93035	-0.62886	0.247051
1.02794	2.27423	0.118454	0.906474	-0.578543	0.112317
0.936363	1.56561	2.16642	3.07669	2.36019	-0.470234
-0.141078	-2.29584	-0.190434	1.26324	-0.579018	-1.13294
1.18744	0.46066	0.738702	-1.24141	0.361119	-2.91443
0.808816	1.74099	1.01586	-2.88077	2.32926	-0.552215
1.77684	0.766619	2.42823	-2.87765	1.72689	-2.24805
-2.29259	-1.22724	-1.62036	2.50814	-1.41548	0.560984
-0.222444	-0.802037	0.297731	-2.26061	0.905286	0.939488
1.08019	2.74341	2.01603	0.145831	2.03418	-1.7157
-0.0977239	0.830241	-1.89216	-2.37202	-1.55551	1.73088
2.02067	-2.2621	0.155522	0.9994	0.193978	-0.635662
-1.72106	-0.22411	-0.652562	3.08834	-1.7939	-2.05113
0.0675777	-1.66471	0.51886	0.264754	1.28252	1.78765
1.31468	-0.197146	-0.963544	2.5973	-1.2623	-0.852815
-2.01549	-2.27706	-1.82299	1.64698	0.41997	-1.10906
-2.23101	0.654561	-1.52671	2.5993	-1.02787	-1.96891
1.19177	-2.65411	1.10736	0.6617	2.0068	-0.162411
-1.33409	-1.90225	-0.829571	-0.144407	-1.86744	2.16533
-0.833526	-2.76691	-0.747361	1.69898	-2.06429	0.18291
0.641104	0.757859	-0.675561	-2.63632	-0.181773	-1.12271
-1.7115	-0.759821	-0.514314	1.15817	-1.16817	-3.0598
1.06222	0.50453	0.250438	2.1293	0.432779	-3.12364
2.11022	2.62934	0.496057	-1.57291	1.34221	0.687139
0.866082	-2.73111	-1.22642	-0.0367299	-1.81	2.96945
2.42226	0.501736	1.92324	-1.48895	2.47511	-3.02048
2.36156	0.96777	1.75545	-3.04193	1.87978	-0.966596
-1.9363	2.80823	-2.21427	-1.18946	1.11981	1.57362
-0.447665	2.08289	0.335259	-0.201708	-0.67296	-1.85828
1.30308	-1.92555	1.01979	0.968742	1.2005	-0.920682
-1.98351	2.16743	-1.58041	-0.0311544	-2.13293	-1.36515
0.304194	0.13627	0.460273	-2.14576	-0.464992	2.70948
-1.16402	0.489333	0.0281459	-3.07275	-0.495366	0.417808
1.55024	2.85075	1.52165	-1.71344	0.78432	-0.260993
1.65695	-2.47759	2.09488	0.512463	1.8839	2.99668
-0.10055	0.162044	2.00519	2.77458	1.21942	-1.4486
2.20019	-2.45132	1.31292	1.54938	1.88693	-0.349996
-0.307841	-1.43188	-2.29357	2.50182	-1.48382	-0.267994
1.54187	2.4074	0.771124	-0.648562	2.28116	-0.808436
0.968237	0.0425149	0.787544	-2.97709	1.00395	0.910956
1.67384	2.39134	-0.606955	-1.29001	2.26155	0.873532
1.06598	-0.664868	-1.76765	1.14185	0.00214803	-2.51071
0.633224	2.96461	1.25123	0.437856	0.596101	-1.28808
-0.188023	-1.76675	-1.9711	2.02842	-2.07371	-0.260099
-1.24171	2.90788	-0.308151	-0.960553	-1.03129	1.05397
-1.21542	-1.21977	-0.319806	1.83507	-2.32899	-2.03848
-0.576425	0.606079	-1.12415	-1.35804	-0.288194	2.34356
-1.85447	0.370684	-0.921524	-2.4224	-1.48601	2.37141
1.24531	-0.810256	0.147285	2.61616	-0.0323181	-2.36474
2.18401	1.23151	0.341945	-2.30994	0.688746	-0.7629
-0.983791	2.12276	-0.858663	0.0962314	-1.53883	-1.69899
0.821778	-0.936372	1.33973	2.55378	1.09565	1.07248
0.977887	-0.0481584	-0.933267	-2.92321	-0.461044	2.24009
-0.309774	-1.58448	0.454294	2.6354	-0.525073	0.294481
0.132804	-2.01551	-1.22667	0.854596	1.3334	2.18006
-0.982674	0.223219	-0.640971	-2.76177	-2.23519	-1.53165
1.32667	-2.42473	0.599799	-1.58579	-0.197414	1.14181
0.187767	-2.60989	-0.740909	0.477385	0.343142	1.66136
1.69902	-0.144904	1.20058	-1.76401	-0.110559	-3.10295
1.0878	-0.579273	0.458157	-3.02576	0.744428	0.922194
2.26342	-3.04895	0.611719	-0.702851	0.62434	1.24788
-0.75058	3.04243	0.204157	1.12315	-0.28463	-0.425879
0.377891	1.71827	0.726621	-1.31661	-0.208214	0.621732
-0.342839	-2.02855	-0.108498	-1.24696	-0.576234	1.82069
2.0666	-1.38703	1.26368	-3.08474	0.679395	1.14547
-0.527194	-1.95256	-1.12166	1.04602	-1.78059	2.02113
-0.223811	2.49076	-1.23332	-1.65649	-0.993857	0.316972
2.15662	1.4248	2.02218	-1.09085	1.57773	-2.87446
0.789533	-1.72803	1.47798	0.947649	2.02086	-1.58924
-0.904979	0.36457	-1.3772	-1.31423	-0.342461	2.86088
1.1088	3.03945	1.68497	-0.220816	1.50212	1.6325
-1.82685	-2.56289	-1.45147	2.5539	-2.23233	-0.22339
-0.426528	1.09551	0.455543	-2.71407	1.21313	-0.91502
-0.861971	1.95632	1.41906	-1.20966	1.02361	2.15883
0.507914	2.38828	-0.285537	-2.02046	0.367995	-2.16583
-0.955145	1.29386	-2.20085	-1.41524	-1.48985	0.237242
0.87198	0.62064	1.76024	-1.98931	1.11445	3.00032
-2.26183	3.09271	-0.599437	-0.722723	-0.224229	2.021
0.778447	1.9117	0.844288	-1.87932	-1.00289	-0.160921
2.36941	-0.0193166	1.73664	3.13877	1.25397	-1.40675
1.89852	-1.00104	0.995075	1.42451	1.7243	-2.82414
1.17353	1.7244	1.74922	-1.29598	0.390899	1.03464
-1.30585	-2.9284	-0.980659	0.962209	-1.30843	-0.624301
0.693274	-0.541437	0.636005	-3.01095	-0.650361	2.62362
-1.06948	1.56846	-0.429521	-2.04574	-0.245502	-0.337158
-0.368095	2.94759	-0.480386	0.787897	0.121735	-1.36858
-1.1713	2.39592	-1.0388	0.554709	-1.376	-1.39128
-0.791715	2.7217	-0.917043	0.253748	-1.26235	-1.39248
-1.71971	-1.57786	-2.08172	0.846407	-1.09944	2.51025
0.0672381	-0.296223	1.82216	2.44878	1.93918	-1.8715
1.86944	0.227763	-0.0880648	1.16519	-0.355423	-0.66208
-0.289799	-2.61934	-0.974134	-0.489388	-1.84694	1.44192
-0.72615	2.51299	-1.90368	0.111854	-1.57208	-1.76914
-1.63134	-2.48461	-1.83201	1.20646	-1.41059	-0.272643
0.345077	2.82511	-0.252754	-1.15511	-0.833894	0.50468
0.827768	1.26995	1.2891	-0.910269	0.673569	-2.74851
-2.02211	-1.2073	-2.22939	2.7301	-1.48214	1.17888
0.572378	-2.31345	-0.177156	1.3602	0.170199	-0.540799
1.01791	-2.44629	1.14791	0.136845	0.942118	2.28592
-0.321517	-0.163561	-0.69012	-2.2806	0.264308	1.3629
0.0114708	-0.651576	-0.1643	1.3826	-0.754658	2.96247
-0.489103	-1.45845	0.322649	0.788193	1.00393	2.91733
0.0423498	-2.83262	0.509548	1.03586	0.816098	-2.01903
-0.970159	1.02617	-0.125793	-1.62698	-0.538934	2.02133
-0.251846	1.365	-0.864582	-2.45031	-1.01308	-0.297159
-1.77022	-0.951165	-0.114481	0.693694	-0.825858	2.89201
0.10647	1.50558	0.640888	2.75563	1.54998	2.42506
-1.70612	3.04421	-1.07035	0.596554	-0.673385	-1.00272
-0.807143	0.0639175	-1.62443	-2.18252	-1.38694	2.96632
1.10152	-2.77994	1.29694	1.07107	1.76438	-0.598523
-0.000245493	1.78133	0.134809	-0.521474	-0.257586	-2.13168
-0.172751	1.66041	-0.606413	-0.821656	0.302983	2.79177
-1.89205	-1.55189	-2.3637	1.79514	-2.14498	0.817956
0.664903	0.438306	-0.86676	-2.38326	-0.183214	2.38479
-0.698991	1.21637	-1.3575	-0.377171	-1.44017	-2.46791
1.34662	-0.289044	0.44345	-2.61338	0.262753	1.0055
0.782556	-3.12547	0.407249	2.28526	-1.01793	-2.01861
-0.393932	-2.89964	-2.2329	-1.69006	0.57899	-0.204744
-0.630065	0.380871	-0.857922	-1.57082	-1.56435	1.67343
0.0086041	1.8739	-0.399471	-1.23991	-1.9213	-2.06435
2.0949	-1.24689	2.13248	2.65241	1.16567	0.799621
0.507817	-2.65842	1.17772	1.65113	-0.0665242	-0.482869
1.65382	0.349249	-0.124621	-0.805892	0.705118	2.22087
